actor_id,character_name,cast_order,movie_id
231,Sale House Woman #1,14,14
232,Sale House Woman #2,15,14
233,Sale House Woman #3,16,14
234,Sale House Woman #4,17,14
235,Christy Kane,18,14
235,Susan Lefferts,21,2118
236,Catering Boss,19,14
236,Prime Minister Motaz,28,9880
236,Sheep Group (voice),32,9986
237,Mr. Smiley's Counter Girl (Janine),20,14
238,Mr. Smiley's Manager,21,14
239,Firing Range Attendant,22,14
239,Loan Officer,18,640
239,Henry Malone,23,5172
239,Tom Johannson,10,10388
240,Young Jane,23,14
241,Spartanette #1,25,14
242,Spartanette #2,26,14
243,Spartanette #3,27,14
244,Spartanette #4,28,14
244,Dancer,96,818
245,Spartanette #5,29,14
246,Spartanette #6,30,14
247,Spartanette #7,31,14
248,Spartanette #8,32,14
248,Nightclub Dancer,49,9384
249,Spartanette #9,33,14
250,Spartanette #10,34,14
251,Playground Girl #1,35,14
252,Playground Girl #2,36,14
253,Newscaster (uncredited),37,14
254,Wedding Guest (uncredited),38,14
254,Restaurant Patron (uncredited),85,3981
254,Angry Driver (uncredited),47,4244
254,Tobacco Executive (uncredited),49,9008
255,Advertising Executive (uncredited),39,14
256,Bartender (uncredited),41,14
257,Selma Jezkova,0,16
258,Kathy,1,16
259,Bill Houston,2,16
259,Brutus Brutal Howell,2,497
259,Ted Arroway,6,686
259,Frank Nugent,2,2207
259,Wade,2,7870
259,Robert Turner,3,8271
259,Cdr. Adam Beck,2,9631
259,Major Tom Baxter,4,9802
260,Jeff,3,16
260,"Lev Andropov, Russian Cosmonaut",8,95
260,"Nihilist #1, Uli Kunkel/'Karl Hungus'",10,115
260,Dr. Solomon Eddie,5,180
260,Dieter Stark,10,330
260,Serge Muscat,8,392
260,Adrik Vas,2,3132
260,Cavaldi,4,4442
260,Dino Velvet,5,8224
260,Alexei,4,8961
260,Emperor,10,9353
260,Dr. Roth,11,9963
261,Oldrich Novy,4,16
262,Linda Houston,5,16
262,Pat Archer,22,205
262,Christie,8,1359
262,Amelia Kavan,4,2757
262,Hell-Cat Maggie,20,3131
262,Gillian Flynn,12,9489
263,Gene Jezkova,6,16
264,Norman,7,16
265,Samuel,8,16
266,District Attorney,10,16
266,Lt. Col. Gary Harrell,16,855
266,Agent Molina,16,1571
266,Detective Dean,4,2251
266,Canadian Guy,14,8321
266,Tim Curley,6,9366
266,Bill Crowley,4,9422
266,Ralph Graves,8,9903
266,Sanders,12,10534
266,Banacek,11,10684
267,Dr. Porkorny,11,16
267,Psychologist,31,95
267,Mr. Kirspe,7,1951
267,Ron Camp,19,3049
267,Polidori,3,9544
267,Head Priest,8,9946
267,Albin Grau,2,10873
268,Morty,12,16
269,Judge,13,16
270,Receptionist,14,16
271,Defense Attorney,15,16
272,Suzan,16,16
273,Angry Man,17,16
274,Detective,18,16
275,Doctor,19,16
275,William Bootstrap Bill Turner,3,58
275,William Bootstrap Bill Turner,3,285
275,Prof. Gerald Lambeau,3,489
275,Captain Viktor Tupolev,7,1669
275,Terence Glass,2,2176
275,Gregor,3,8195
275,Jim Whitlock,5,8914
275,Erik Selvig,4,10195
275,Father Merrin,0,11026
276,Woman on Night Shift,20,16
277,Officer of the Court / Dancer,21,16
278,Chairman / Dancer,22,16
279,New Defense Council,23,16
280,Person in Doorway,24,16
281,Dancer,25,16
282,Dancer,26,16
283,Dancer (uncredited),27,16
284,Prison Guard - Serving Selma Jezkova's last meal (uncredited),28,16
285,Jean-Baptiste Emmanuel Zorg,1,18
285,Gordon,5,155
285,Jim Gordon,4,272
285,Drexl Spivey,4,319
285,Albert Milo,3,549
285,Sirius Black,3,673
285,Sirius Black,9,674
285,Sirius Black,11,675
285,Lee Harvey Oswald,2,820
285,Jack Grimaldi,0,2088
285,Dr. Zachary Smith,0,2157
285,Dracula,0,6114
285,Ivan Korshunov,1,9772
285,Rev. Arthur Dimmesdale,1,10533
286,Father Vito Cornelius,2,18
286,Bilbo Baggins,14,120
286,Bilbo Baggins,11,122
286,Ash,5,348
286,Gideon Largeman,2,401
286,Terry Rapson,10,435
286,Sir William Gull,2,768
286,Simeon Weisz,5,1830
286,Kiri Vinokur,2,1946
286,Skinner (voice),1,2062
286,Professor Fitz,6,2567
286,Jonas Muller,4,9389
286,Sam Mussabini,5,9443
286,Mitchell Stephens,0,10217
287,Leeloo,3,18
287,Alice,0,1576
287,Alice,0,1577
287,Alice,0,7737
287,Katinka,4,9398
287,Dakota Burns,2,9469
